Theta	E
82.993468	1745.626750
82.993468	1685.656750
82.993468	1822.707425
82.993468	1865.194365
82.993468	1749.227262
82.993468	1683.943780
104.436452	1823.587750
104.436452	1774.612250
104.436452	1613.692750
104.436452	1703.647750
104.436452	1674.662250
104.436452	1823.031601
104.436452	1774.235777
104.436452	1611.156487
104.436452	1710.826502
104.436452	893.403947
102.279706	1824.587250
102.279706	1774.612250
102.279706	1615.691750
102.279706	1824.930814
102.279706	1772.253105
102.279706	1641.059490
126.175143	1780.609250
126.175143	1540.729250
126.175143	1638.680250
126.175143	1779.216398
126.175143	1540.583692
126.175143	7985.461194
164.059538	1741.628750
164.059538	1452.773250
164.059538	1740.711490
164.059538	1460.831736
84.797629	1815.591750
84.797629	1861.568750
84.797629	1674.662250
84.797629	1736.631250
84.797629	1815.590590
84.797629	1859.848698
84.797629	1672.381276
84.797629	1736.417631
155.648645	1743.627750
155.648645	1461.768750
155.648645	1741.481731
155.648645	1466.185461
96.924138	1835.581750
96.924138	1786.606250
96.924138	1631.683750
96.924138	1716.641250
96.924138	1686.656250
96.924138	1834.715324
96.924138	1785.424842
96.924138	1628.109213
96.924138	860.813557
96.924138	1686.560518
96.396213	1834.582250
96.396213	1786.606250
96.396213	1640.679250
96.396213	1622.688250
96.396213	1686.656250
96.396213	1834.182349
96.396213	1785.408539
96.396213	490671015.898548
96.396213	1652.445034
96.396213	922886183.205926
141.691617	1748.625250
141.691617	1498.750250
141.691617	1475.761750
141.691617	1587.705750
141.691617	1752.197737
141.691617	1518.843790
141.691617	1485.422807
141.691617	1595.509846
153.932342	1744.627250
153.932342	1466.766250
153.932342	1743.167252
153.932342	1469.289933
87.958376	1811.593750
87.958376	1856.571250
87.958376	1665.666750
87.958376	1725.636750
87.958376	1811.496773
87.958376	1854.437172
87.958376	1664.111846
87.958376	1711.964777
107.192747	1815.591750
107.192747	1762.618250
107.192747	1601.698750
107.192747	1694.652250
107.192747	1814.711682
107.192747	1764.453846
107.192747	1600.786473
107.192747	1710.851670
163.013666	1741.628750
163.013666	1453.772750
163.013666	1573.712750
163.013666	1740.632258
163.013666	1458.412666
163.013666	1575.409948
118.124276	1796.601250
118.124276	1570.714250
120.777421	1791.603750
120.777421	1654.672250
120.777421	1790.574871
120.777421	1808.306035
85.440681	1810.594250
85.440681	1857.570750
85.440681	1664.667250
85.440681	1726.636250
85.440681	1811.041979
85.440681	1854.972051
85.440681	1664.755496
85.440681	1712.813250
162.490823	1742.628250
162.490823	1453.772750
162.490823	1575.711750
162.490823	1741.257101
162.490823	1458.685810
162.490823	1577.340328
112.437956	1804.597250
112.437956	1586.706250
124.886750	1780.609250
124.886750	1640.679250
124.886750	1541.728750
124.886750	1780.012320
124.886750	1640.922620
124.886750	1542.008760
153.169204	1745.626750
153.169204	1468.765250
153.169204	1743.275225
153.169204	1469.205218
120.263801	1791.603750
120.263801	1558.720250
120.263801	1790.108619
120.263801	1561.801383
64.565200	1856.571250
64.565200	1913.542750
64.565200	1756.621250
64.565200	1795.601750
64.565200	1856.892904
64.565200	2233.428879
64.565200	1755.965481
64.565200	1816.491353
95.108791	1796.601250
95.108791	1842.578250
95.108791	1643.677750
95.108791	1707.645750
95.108791	1797.066280
95.108791	1841.969279
95.108791	1642.857045
95.108791	1706.401141
164.820438	1779.609750
164.820438	1481.758750
164.820438	1606.696250
164.820438	1777.397084
164.820438	1484.921740
164.820438	1610.059841
127.410756	1778.610250
127.410756	1536.731250
127.410756	1640.679250
103.702368	1824.587250
103.702368	1774.612250
103.702368	1602.698250
103.702368	1654.672250
103.702368	1715.641750
78.419593	1832.583250
78.419593	1880.559250
78.419593	1705.646750
78.419593	1833.032933
78.419593	1875.933424
78.419593	1747.262462
73.702928	1840.579250
73.702928	1892.553250
73.702928	1773.612750
73.702928	1840.667308
73.702928	1885.688346
73.702928	1752.193698
143.952268	1744.627250
143.952268	1473.762750
143.952268	1492.753250
143.952268	1746.787008
143.952268	1478.618128
143.952268	1538.638311
124.373340	1782.608250
124.373340	1542.728250
124.373340	1641.678750
124.373340	1781.284926
124.373340	1543.000559
124.373340	2060.658519
69.911726	1847.575750
69.911726	1900.549250
69.911726	1783.607750
69.911726	1847.303539
69.911726	1892.762025
69.911726	1765.364913
160.766722	1742.628250
160.766722	1456.771250
160.766722	1575.711750
160.766722	1741.231355
160.766722	1460.340911
160.766722	1576.551432
76.355961	1833.582750
76.355961	1881.558750
76.355961	1707.645750
76.355961	1833.532603
76.355961	1875.408388
76.355961	1751.637040
65.903528	1855.571750
65.903528	1751.623750
65.903528	1911.543750
65.903528	1794.602250
144.600091	1744.627250
144.600091	1485.756750
144.600091	1469.764750
